jahr,studierende_gesamt,bafoeg_studierende,Werk,stip_gesamt_werk,stip_bafoeg_Nein,stip_bafoeg_Ja,stip_bafoeg_anteil,stip_von_bafoeg,stip_von_nichtbafoeg
2020,2944145,465543,HSS,1305,835,461,0.3557098765432099,9.90241502933134e-4,3.368834528496306e-4
2020,2944145,465543,KAS,2686,1895,791,0.29448994787788535,0.0016990911688071779,7.645438840120358e-4
2020,2944145,465543,RLS,902,142,760,0.8425720620842572,0.0016325022608008283,5.7290359646284476e-5
2020,2944145,465543,SDW,1729,1048,681,0.3938692886061307,0.0014628079468491633,4.2281899231905726e-4
2020,2944145,465543,StS,13402,8647,3897,0.3106664540816326,0.0083708701451853,0.003488660139869168
2020,2944145,465543,hbs,1099,575,524,0.4767970882620564,0.0011255673482363606,2.3198561124375758e-4
2021,2941915,467595,AVICENNA,502,69,433,0.8625498007968128,9.260150343780409e-4,2.788644961039801e-5
2021,2941915,467595,CUS,2198,1570,628,0.2857142857142857,0.001343042590275773,6.345177664974619e-4
2021,2941915,467595,ELES,299,112,187,0.6254180602006689,3.999187330916712e-4,4.5264961686443145e-5
2021,2941915,467595,ESW,1499,814,685,0.45697131420947296,0.001464942952768956,3.289792751139707e-4
2021,2941915,467595,FES,2194,1202,991,0.4518923848609211,0.0021193554251007817,4.8579003524200587e-4
2021,2941915,467595,FNS,984,720,264,0.2682926829268293,5.645911526000064e-4,2.9098903941284876e-4
2021,2941915,467595,HBS,2414,508,1903,0.7892990460389879,0.004069761224991713,2.0530893336350998e-4
2021,2941915,467595,HSS,1336,913,411,0.3104229607250755,8.789657716613736e-4,3.689902680332374e-4
2021,2941915,467595,KAS,2759,1987,772,0.27981152591518665,0.0016510014007848673,8.030489184907368e-4
2021,2941915,467595,RLS,929,182,747,0.8040904198062433,0.0015975363295159272,7.35555627404701e-5
2021,2941915,467595,SDW,1761,1121,640,0.3634298693923907,0.001368705824484864,4.530537683080604e-4
2021,2941915,467595,StS,14241,9193,4038,0.3051923512961983,0.00863567831135919,0.0037153642212809984
2021,2941915,467595,hbs,1217,663,554,0.4552177485620378,0.0011847859793197104,2.6795240712599824e-4
2022,2920263,489347,AVICENNA,514,72,442,0.8599221789883269,9.032445279116864e-4,2.961846480915013e-5
2022,2920263,489347,CUS,2212,1606,606,0.2739602169981917,0.0012383850314807284,6.606563122707654e-4
2022,2920263,489347,ELES,278,104,173,0.6245487364620939,3.535323604722211e-4,4.278222694655019e-5
2022,2920263,489347,ESW,1511,796,715,0.47319655857048315,0.0014611308539747869,3.2744858316782646e-4
2022,2920263,489347,FES,2224,1206,1018,0.4577338129496403,0.002080323369715151,4.961092855532647e-4
2022,2920263,489347,FNS,1070,766,304,0.2841121495327103,6.21236055396273e-4,3.151075561640139e-4
2022,2920263,489347,HBS,2406,512,1883,0.7862212943632568,0.003847985172076257,2.1062019419840094e-4
2022,2920263,489347,HSS,1271,845,415,0.32936507936507936,8.48068957202149e-4,3.476055939407203e-4
2022,2920263,489347,KAS,2700,1923,777,0.2877777777777778,0.0015878303126411319,7.910598309443848e-4
2022,2920263,489347,RLS,885,160,725,0.8192090395480226,0.0014815662505338748,6.581881068700029e-5
2022,2920263,489347,SDW,1780,1133,647,0.3634831460674157,0.0013221701573729889,4.660794531773208e-4
2022,2920263,489347,StS,13902,9175,3893,0.29790327517600246,0.00795549988045293,0.003774297425332673
2022,2920263,489347,hbs,1322,763,559,0.4228441754916793,0.0011423386676530152,3.1387345346363263e-4
2023,2868311,501425,AVICENNA,540,78,462,0.8555555555555555,9.213740838609961e-4,3.2954692367946745e-5
2023,2868311,501425,CUS,2161,1583,578,0.26746876446089773,0.0011527147629256619,6.688112566469192e-4
2023,2868311,501425,ELES,296,116,179,0.6067796610169491,3.569825995911652e-4,4.90095424959208e-5
2023,2868311,501425,ESW,1521,795,726,0.47731755424063116,0.001447873560352994,3.358843645194572e-4
2023,2868311,501425,FES,2176,1202,974,0.4476102941176471,0.0019424639776636585,5.078402593111794e-4
2023,2868311,501425,FNS,1149,839,310,0.26979982593559615,6.182380216383308e-4,3.544741909834272e-4
2023,2868311,501425,HBS,2454,494,1950,0.7978723404255319,0.0038889165877249838,2.087130516636627e-4
2023,2868311,501425,HSS,1327,878,444,0.3358547655068079,8.854763922819963e-4,3.709515371674005e-4
2023,2868311,501425,KAS,2700,1916,784,0.2903703703703704,0.0015635438998853268,8.095024432946919e-4
2023,2868311,501425,RLS,887,160,727,0.8196166854565953,0.0014498678765518273,6.759936895989076e-5
2023,2868311,501425,SDW,1833,1176,657,0.35842880523731585,0.0013102657426334945,4.968553618551971e-4
2023,2868311,501425,StS,13626,8753,3897,0.30806324110671934,0.007771850226853468,0.003698107978162024
2023,2868311,501425,hbs,1339,798,541,0.40403286034353997,0.001078925063568829,3.3715185268745515e-4
2024,2864122,483814,AVICENNA,547,72,475,0.8683729433272395,9.817822551641746e-4,3.024818636915895e-5
2024,2864122,483814,CUS,2084,1551,533,0.2557581573896353,0.0011016630357947475,6.515963480356324e-4
2024,2864122,483814,ELES,309,119,190,0.6148867313915858,3.9271290206566986e-4,4.99935302490266e-5
